NAME:,walk_2_1,,
EXPERIMENT TIME:,6/6/2023 10:32,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,82,,
,,,
Time[sec],ACC X,ACC Y,ACC Z
0,3.1,-9.26,-3.37
0.08,3.22,-9.06,-3.41
0.15,3.22,-9.18,-3.33
0.22,3.26,-9.18,-3.18
0.29,3.37,-9.06,-3.18
0.36,3.37,-9.14,-3.22
0.43,2.9,-8.94,-3.49
0.5,2.2,-9.77,-1.96
0.57,2.71,-9.45,-2.39
0.64,2.82,-9.69,-3.1
0.71,1.29,-9.18,-2.82
0.79,2.04,-9.53,-2.9
0.86,1.69,-9.45,-2.82
0.93,1.69,-9.18,-2.67
1,1.69,-9.57,-1.73
1.07,4.08,-9.65,-1.18
1.14,6.43,-14.47,-1.41
1.21,4.94,-9.81,-4.71
1.28,4.47,-10.43,-3.14
1.35,3.69,-7.18,-3.45
1.42,2.55,-7.77,-2.94
1.5,4.39,-6.9,-3.33
1.57,3.22,-7.49,-3.8
1.64,2.63,-7.92,-5.02
1.71,3.06,-8.87,-4.71
1.78,2.47,-9.61,-6.98
1.85,6.12,-18.2,-2.28
1.92,4.67,-0.82,-4.98
1.99,6.16,-10,-1.92
2.06,3.02,-7.57,-1.84
2.13,3.18,-9.69,-2.59
2.2,2.55,-9.22,-3.02
2.28,2.63,-9.65,-2.47
2.35,2.94,-9.61,-2.63
2.42,3.06,-9.22,-2.79
2.49,1.61,-8.94,-3.41
2.56,0.9,-9.73,-4.28
2.63,1.33,-11.45,-2.82
2.7,5.53,-10.71,-1.61
2.77,3.3,-7.81,-3.18
2.84,3.88,-10.47,-2.79
2.91,3.92,-7.61,-3.61
2.99,4.39,-6.86,-3.8
3.06,3.33,-8.12,-4.31
3.13,2.51,-7.92,-4.71
3.2,2.63,-8.43,-5.65
3.27,2.31,-10.12,-6.55
3.34,6.32,-11.26,-4.71
3.41,5.14,-8.67,-6.39
3.48,3.73,-10.16,-0.31
3.55,3.02,-5.77,-4.08
3.62,4.12,-10.04,-2.31
3.7,1.88,-7.57,-2.47
3.77,3.92,-9.61,-2.86
3.98,2.43,-9.77,-3.65
5.36,2.86,-10.36,-2.9
5.43,1.57,-8.98,-3.02
5.86,1.69,-7.73,-3.61
5.93,2.59,-7.92,-3.06
6.85,3.3,-9.65,-2.51
6.92,2.43,-8.75,-3.49
6.99,2.9,-9.53,-2.55
7.06,1.41,-9.38,-2.94
7.13,3.73,-11.34,-2.35
7.2,5.18,-12.4,-1.65
7.28,4.47,-8,-4.12
7.35,3.41,-10.04,-3.02
7.42,2.71,-6.94,-4.28
7.49,4.08,-7.92,-4.2
7.56,3.61,-7.85,-5.06
7.63,2.31,-8.04,-5.45
7.7,2.75,-7.69,-5.45
7.77,2.67,-8.71,-5.81
7.84,2.59,-9.1,-6.24
7.92,2.35,-7.92,-6.75
7.99,10.12,-18.01,-1.41
8.06,2.35,1.14,-4.2
8.13,4.08,-8.08,-4.67
8.2,3.92,-9.69,-2.43
8.27,2.12,-8.08,-2.55
8.34,2.51,-9.3,-3.65
8.41,2,-8.94,-3.14
8.48,2.16,-9.41,-2.98
8.55,2.55,-9.3,-2.55
8.62,0.63,-9.92,-3.84
8.7,2.75,-11.57,-1.88
8.77,5.02,-10.36,-1.69
8.84,3.3,-7.3,-3.06
8.91,3.18,-10.2,-2.71
8.98,2.82,-8.04,-3.8
9.05,2.43,-8.36,-4.28
9.12,2.24,-7.49,-4.28
9.19,1.61,-8.08,-5.33
9.26,2.59,-9.38,-4.79
9.34,1.65,-8.47,-6.63
9.41,4.35,-10.71,-3.92
9.48,4.51,-11.53,-5.69
9.55,5.37,-9.57,-1.84
9.62,4.94,-8.24,-3.33
9.69,3.45,-10.08,-2.12
9.76,1.26,-7.69,-3.33
9.83,2.43,-9.22,-3.22
9.9,2.59,-9.06,-3.26
9.97,1.77,-9.14,-2.43
10.04,3.02,-9.85,-3.65
10.12,1.02,-9.77,-3.77
10.19,3.49,-10.47,-2.86
10.26,5.69,-11.45,-0.9
10.33,3.53,-7.37,-4.43
10.4,4,-11.3,-2.59
10.47,2.94,-6.55,-3.77
10.54,3.45,-7.69,-4
10.61,2.39,-7.34,-5.06
10.68,1.65,-8.36,-5.57
10.76,3.3,-10.32,-6
10.83,2.82,-9.92,-5.61
10.9,8.04,-9.22,-6.79
10.97,3.41,-6.16,-2.59
11.04,3.26,-6.63,-3.77
11.11,2.79,-7.88,-1.92
11.18,2,-8.83,-2.82
11.25,2.51,-9.3,-3.02
11.32,2.86,-8.83,-2.94
11.39,2.35,-9.45,-2.82
11.46,0.2,-9.96,-3.3
11.54,1.53,-9.38,-3.33
11.61,5.77,-13.06,-0.47
11.68,1.65,-6.35,-3.69
11.75,1.88,-8.32,-2.67
11.82,4.63,-8.12,-4.04
11.89,2.43,-7.81,-3.88
12.1,2.39,-9.96,-5.41
12.81,1.02,-10.04,-3.84
12.89,3.33,-11.1,-2.08
12.96,4.98,-11.73,-1.06
13.03,3.53,-9.34,-4.24
13.1,3.65,-10.16,-2.28
13.17,2.51,-5.88,-3.65
13.24,3.41,-8.36,-3.92
13.31,3.06,-7.37,-4.63
