NAME:,run_1_1,,
EXPERIMENT TIME:,6/6/2023 10:42,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,159,,
,,,
Time[sec],ACC X,ACC Y,ACC Z
0,3.57,-8.59,-2.51
0.07,3.26,-9.34,-3.1
0.14,3.37,-9.22,-2.94
0.21,3.37,-9.22,-2.79
0.28,2.59,-8.98,-2.35
0.35,3.06,-9.26,-0.98
0.42,3.37,-9.34,-2.2
0.49,1.65,-9.53,-1.8
0.57,1.96,-9.06,-1.84
0.64,2.98,-9.1,-1.84
0.71,2.16,-8.79,-1.69
0.78,1.06,-9.65,-1.96
0.85,0.55,-11.69,-1.26
0.92,0.47,-9.38,0.43
0.99,3.33,-14.36,-1.92
1.06,6.55,-15.69,-4.75
1.13,2.47,-14.36,-6.94
1.2,5.06,-6.75,-5.49
1.28,1.18,1.37,0.47
1.35,2.16,1.88,-5.92
1.42,3.41,-4.24,-4.94
1.49,3.77,-6.12,-5.81
1.56,-1.26,-9.45,-5.81
1.63,3.26,-15.42,-3.26
1.7,-0.55,-5.84,-2.43
1.77,3.57,0.82,1.77
1.84,11.14,-10.36,0.75
1.92,2.04,-20.01,-5.22
1.99,4.79,-15.34,-6.83
2.06,4.51,-5.02,-5.65
2.13,1.06,-0.86,-0.86
2.2,2.08,-1.29,-1.22
2.27,1.41,-20.01,10.2
2.34,3.02,-9.65,-8.87
2.41,1.26,-14.47,-4.12
2.48,3.22,-12.75,-1.26
2.55,-2.31,-2.28,0.63
2.63,1.84,-0.75,-1.06
2.7,13.06,-11.69,-0.47
2.77,1.69,-18.16,-7.37
2.84,3.22,-17.22,-8.47
2.91,2,-1.22,-4.79
2.98,4.75,2.75,-2.82
3.05,3.14,-2.47,-4.82
3.12,7.45,-5.73,1.33
3.19,8.2,-20.01,-2.59
3.26,1.18,-12.43,-2.35
3.48,17.14,-1.88,2.71
3.55,4.08,-19.93,-5.53
3.62,5.81,-17.14,-8.75
3.69,0.43,-6.83,-4.28
3.76,0.63,-0.75,0.55
3.83,2.94,0.55,-0.75
3.9,-2.2,-2.08,-4.24
3.97,8.04,-19.93,-7.37
4.04,1.84,-13.85,-2
4.12,3.26,-6.86,-5.45
4.19,-0.71,-1.53,-0.08
4.26,3.77,1.33,2.35
4.33,9.77,-20.01,5.02
4.4,-3.18,-19.93,-8.36
4.47,4,-13.49,-6.83
4.54,-0.75,0.43,-3.1
4.61,1.14,2.63,-3.84
4.68,18.12,-18.24,-2.28
4.76,-3.06,-7.41,-12.04
4.83,8.04,-14.95,-6.63
4.9,4.16,-13.26,1.77
4.97,-1.53,-1.61,0.67
5.04,0.71,0.31,-1.92
5.11,18.2,-1.61,-0.43
5.18,5.88,-16.28,-12.4
5.25,4.04,-15.69,-8.94
5.32,2.79,-0.98,-6.9
5.39,3.8,-1.57,-0.94
5.46,3.96,-0.12,-3.77
5.54,6.47,-9.14,-4.16
5.61,8,-20.01,-2.43
5.68,3.14,-10.2,-3.45
5.75,0.9,-7.45,-1.88
5.82,-0.31,-0.67,-0.55
5.89,1.61,0.98,2.04
5.96,8.04,-20.01,0.9
6.03,-0.04,-18.48,-8.94
6.1,2.51,-5.84,-4.31
6.17,3.84,0.47,-2.43
6.25,4.98,-1.49,-0.63
6.32,2.04,-20.01,14.51
6.39,2.63,-5.45,-8.59
6.46,1.84,-15.3,-1.88
6.53,3.45,-9.41,-2.35
6.6,-0.08,-3.14,-0.2
6.67,2.43,0.59,-0.51
6.74,6.28,-20.01,0.31
6.81,-2.47,-20.01,-8.67
6.89,1.22,-12.04,-7.69
6.96,1.88,0.63,-2.16
7.03,1.61,1.45,-4.55
7.1,13.14,-20.01,20.01
7.17,-1.02,-13.89,-7.61
