NAME:,run_3_1,,
EXPERIMENT TIME:,6/6/2023 11:08,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,170,,
,,,
Time[sec],ACC X,ACC Y,ACC Z
0,3.49,-9.22,-2.9
0.07,3.33,-9.1,-3.1
0.14,3.14,-8.79,-3.61
0.21,3.3,-8.79,-3.37
0.29,3.69,-8.87,-2.75
0.36,3.49,-9.06,-2.39
0.43,3.3,-8.83,-1.57
0.5,3.61,-8.71,-1.73
0.57,2.51,-9.96,-2.28
0.64,2,-8.98,-2.39
0.71,2.43,-9.45,-2.2
0.78,2,-9.3,-2.16
0.85,2.75,-8.9,-1.69
0.92,2.86,-9.45,-0.94
0.99,-0.67,-11.77,-1.22
1.07,6.28,-12.75,0.43
1.14,3.14,-10.43,-2.79
1.21,4.12,-16.83,-2.55
1.28,9.34,-12,-4
1.35,3.61,-1.92,-4.16
1.42,1.57,-0.39,-0.86
1.49,14.87,-12.98,5.26
1.56,0.35,-5.96,-6.16
1.63,9.45,-15.49,-7.61
1.7,-0.59,-9.1,-6.79
1.78,-1.26,-3.8,-0.63
1.85,6.08,1.53,5.18
1.92,12.94,-14.44,1.49
1.99,4.2,-20.01,-7.85
2.06,4.79,-3.84,-5.41
2.13,0.67,2.35,-1.37
2.2,0.43,-0.35,-1.65
2.27,4.35,2.35,-5.37
2.34,6.98,-11.89,-10.59
2.42,-0.59,-13.65,-3.92
2.49,3.1,-6.16,-2.59
2.56,0.2,-0.35,0.67
2.63,7.61,-0.16,2.79
2.7,3.8,-20.01,-9.22
2.77,4.04,-12.32,-7.02
2.84,1.37,0.12,-1.92
2.91,2.12,1.37,-4.94
2.98,10.9,-20.01,-1.22
3.05,0.67,-12.98,-7.77
3.12,4.24,-17.3,-6.75
3.2,1.92,-6.9,-1.84
3.27,2.04,-0.71,0.75
3.34,4.04,-0.67,3.96
3.41,7.06,-20.01,-3.88
3.48,2.75,-16.75,-7.26
3.55,2.67,-1.61,-3.8
3.62,3.88,1.96,-1.33
3.69,11.34,-6.28,2.55
3.76,0.2,-11.85,-5.61
3.84,7.18,-16.28,-8.79
3.91,0.31,-10.36,-3.77
3.98,1.88,-1.73,0.71
4.05,-0.24,0.39,2.16
4.12,8.94,-16.28,-1.02
4.19,4.39,-19.61,-9.49
4.26,2.9,-3.18,-5.1
4.33,1.29,2.2,-0.67
4.4,5.06,-0.86,0
4.47,5.92,-5.1,-4.63
4.54,6.24,-18.91,-9.65
4.62,1.69,-11.02,-4.16
4.69,2.51,-4,2.43
4.76,0.16,0.71,0.75
4.83,4.47,-18.75,-4.47
4.9,2.63,-20.01,-9.34
4.97,6.16,-9.77,-6.67
5.75,1.96,2.55,-1.69
5.82,1.84,2.59,-2.35
5.89,20.01,-18.2,3.73
5.96,-4.82,-10.63,-13.14
6.04,5.92,-14.12,1.33
6.11,1.37,-6.98,-2.16
