NAME:,run_4_2,,
EXPERIMENT TIME:,6/6/2023 10:54,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,186,,
,,,
Time[sec],ACC X,ACC Y,ACC Z
0,-1.73,-8.79,-4.71
0.07,-1.57,-10.16,-4.31
1,5.73,-13.18,-3.92
1.07,-1.41,-16.04,-5.33
1.92,-4.43,-5.1,-2.75
1.99,1.37,4.67,-4.28
2.49,2.24,-15.46,-0.94
2.56,-1.57,-15.38,-6.47
2.63,-3.06,-4.9,-4.04
2.7,-0.31,3.45,-3.53
2.77,2.67,-4.16,-15.14
2.84,-5.41,-17.57,-3.06
2.91,-0.16,-17.34,-1.88
2.99,2.47,-1.92,-2.94
3.06,-0.43,2.51,-3.02
3.13,-20.01,-20.01,-3.49
3.2,6.08,-13.96,4.43
3.27,-0.16,-16.75,-8.32
3.34,-2.08,-5.45,-3.8
3.41,-1.96,0.9,-3.53
3.48,-5.3,3.22,-4.59
3.55,-10.47,-20.01,5.41
3.63,-0.9,-18.91,-1.65
3.7,1.26,-5.84,-1.22
3.77,2.28,4.35,-5.18
3.84,-10.71,-3.77,-14.32
3.91,17.73,-20.01,-16
3.98,-5.22,-16.55,-0.9
4.05,1.77,-7.85,-1.57
4.12,-5.41,1.84,-4.82
4.19,-6.67,3.49,-3.73
4.26,0,-20.01,5.65
4.33,2.43,-19.61,-3.02
4.41,1.49,-5.73,-2.51
4.48,-0.08,2.51,-4
4.55,-4.71,0.98,-10.75
4.62,14.55,-15.02,-11.81
4.69,-7.41,-18.67,-3.02
4.76,0.04,-6.86,-3.26
4.83,-4.31,2.47,-5.69
4.9,-5.96,2.98,-3.37
4.97,-6.71,-20.01,6.04
5.04,0.51,-16.63,-1.22
5.12,0.39,-1.92,-3.3
5.19,-0.71,1.06,-2.98
5.26,-20.01,-14.2,2.59
5.33,0.31,-16.87,3.1
5.4,-0.12,-12.83,-7.18
5.47,-3.26,-4,-3.18
5.54,-0.86,3.92,-4.51
5.61,0.71,-7.37,-16.79
5.68,1.1,-17.1,-7.65
5.76,1.96,-15.42,-3.18
5.83,1.77,1.69,-4.08
5.9,-1.57,-0.12,-0.94
5.97,-2.71,-15.81,3.65
6.04,-4.43,-18.4,3.96
6.11,-0.35,-13.22,-9.61
6.18,-2.67,-4.67,-3.57
6.25,-0.12,3.33,-3.8
6.32,1.1,-9.81,-20.01
6.39,-0.31,-15.42,-7.45
6.47,0.78,-14.95,-3.1
6.54,1.53,0.51,-3.02
6.61,-1.61,0.82,-1.84
6.68,-6.32,-16.51,9.1
6.75,-4.2,-19.53,5.3
6.82,-0.98,-11.73,-9.18
6.89,-4.51,-1.96,-3.06
6.96,-0.2,3.96,-4.28
7.03,-2.63,-16.95,-20.01
7.1,2.71,-15.93,-10.55
7.17,1.69,-12.59,-1.8
7.25,2.08,3.41,-4.71
7.32,-2.86,0.39,-2.39
7.39,-8.59,-14.32,5.1
7.46,-4.28,-19.3,-3.37
7.53,2,-9.85,-6.63
7.6,-5.1,-2.98,-4.71
7.67,0.16,3.33,-3.53
-429.04,,435.561.61,-16.75
9.02,-3.33,-3.22,-4.9
9.94,.91-1.02,-13.34,-4.35
10.01,4.16,-11.3,-1.73
