walk_1_2,NAME:,,
08/06/2023 10:45,EXPERIMENT TIME:,,
Walking,ACTIVITY TYPE:,,
85,COUNT OF ACTUAL STEPS,,
,,,
ACC Z,ACC Y,ACC X,Time [sec]
-11.32,-1.87,1.35,0.003
-11.32,-1.87,1.35,0.093
-11.32,-1.87,1.35,0.149
-11.32,-1.87,1.35,0.229
-11.32,-1.87,1.35,0.308
-11.32,-1.87,1.35,0.397
-11.32,-1.87,1.35,0.469
-11.32,-1.87,1.35,0.575
-12.57,-2.24,0.85,0.661
-12.59,-3.57,0.51,0.725
-12.29,-3.5,0.58,0.807
-12.29,-3.5,0.58,0.899
-12.29,-3.5,0.58,0.966
-12.29,-3.5,0.58,1.043
-12.29,-3.5,0.58,1.128
-12.29,-3.5,0.58,1.221
-12.29,-3.5,0.58,1.305
-12.29,-3.5,0.58,1.367
-11.35,-3.23,1.05,1.467
-10.33,-1.69,1.39,1.545
-10.25,-1.26,0.75,1.603
-10.25,-1.26,0.75,1.693
-10.25,-1.26,0.75,1.767
-10.25,-1.26,0.75,1.858
-10.25,-1.26,0.75,1.935
-10.25,-1.26,0.75,2.021
-10.25,-1.26,0.75,2.101
-10.25,-1.26,0.75,2.196
-9.56,-0.3,1.05,2.275
-11.62,0.48,2.01,2.342
-13.11,-1.1,3.73,2.442
-13.11,-1.1,3.73,2.519
-13.11,-1.1,3.73,2.597
-13.11,-1.1,3.73,2.677
-13.11,-1.1,3.73,2.757
-13.11,-1.1,3.73,2.839
-13.11,-1.1,3.73,2.919
-13.11,-1.1,3.73,2.987
-13.6,-0.9,3.4,3.062
-12.62,-1.94,2.25,3.154
-10.23,-0.14,0.97,3.244
-10.23,-0.14,0.97,3.319
-10.23,-0.14,0.97,3.4
-10.23,-0.14,0.97,3.481
-10.23,-0.14,0.97,3.549
-10.23,-0.14,0.97,3.642
-10.23,-0.14,0.97,3.718
-10.23,-0.14,0.97,3.809
-9.75,-0.78,0.03,3.891
-10.43,-0.34,0.04,3.968
-12.58,-0.37,-0.27,4.044
-12.58,-0.37,-0.27,4.12
-12.58,-0.37,-0.27,4.202
-12.58,-0.37,-0.27,4.302
-12.58,-0.37,-0.27,4.371
-12.58,-0.37,-0.27,4.464
-12.58,-0.37,-0.27,4.526
-12.58,-0.37,-0.27,4.602
-14.29,-1.03,1.12,4.708
-13.13,-2.64,1.12,4.769
-12.68,-4.01,0.99,4.855
-12.68,-4.01,0.99,4.94
-12.68,-4.01,0.99,5.024
-12.68,-4.01,0.99,5.104
-12.68,-4.01,0.99,5.2
-12.68,-4.01,0.99,5.261
-12.68,-4.01,0.99,5.336
-12.68,-4.01,0.99,5.418
-10.3,-3.86,0.08,5.493
-10.02,-2.21,0.31,5.576
-9.14,-1.06,1.12,5.656
-9.14,-1.06,1.12,5.735
-9.14,-1.06,1.12,5.816
-9.14,-1.06,1.12,5.899
-9.14,-1.06,1.12,5.999
-9.14,-1.06,1.12,6.082
-9.14,-1.06,1.12,6.143
-9.14,-1.06,1.12,6.226
-10.68,-1.14,1.39,6.305
-12.45,-1.09,0.81,6.384
-12.75,-3.58,0.46,6.466
-12.75,-3.58,0.46,6.568
-12.75,-3.58,0.46,6.652
-12.75,-3.58,0.46,6.736
-12.75,-3.58,0.46,6.805
-12.75,-3.58,0.46,6.876
-12.75,-3.58,0.46,6.972
-12.75,-3.58,0.46,7.048
-11.35,-3.74,0.22,7.137
-10.32,-4.26,1.23,7.213
-9.58,-1.82,0.84,7.301
-9.58,-1.82,0.84,7.362
-9.58,-1.82,0.84,7.446
-9.58,-1.82,0.84,7.536
-9.58,-1.82,0.84,7.632
-9.58,-1.82,0.84,7.694
-9.58,-1.82,0.84,7.784
-9.58,-1.82,0.84,7.857
-9.77,-0.9,1.6,7.946
-9.81,-0.24,1.4,8.004
-11.73,0.18,1.88,8.111
-11.73,0.18,1.88,8.175
-11.73,0.18,1.88,8.252
-11.73,0.18,1.88,8.352
-11.73,0.18,1.88,8.437
-11.73,0.18,1.88,8.501
-11.73,0.18,1.88,8.57
-11.73,0.18,1.88,8.667
-13.96,-0.92,1.41,8.735
-13.9,-2.17,1.44,8.841
-13.19,-2.97,1.28,8.911
-13.19,-2.97,1.28,8.985
-13.19,-2.97,1.28,9.056
-13.19,-2.97,1.28,9.145
-13.19,-2.97,1.28,9.221
-13.19,-2.97,1.28,9.324
-13.19,-2.97,1.28,9.398
-13.19,-2.97,1.28,9.476
-12.02,-2.65,1.58,9.55
-11.14,-1.82,0.86,9.624
-10.76,-1.37,0.39,9.705
-10.76,-1.37,0.39,9.81
-10.76,-1.37,0.39,9.878
-10.76,-1.37,0.39,9.981
-10.76,-1.37,0.39,10.051
-10.76,-1.37,0.39,10.119
-10.76,-1.37,0.39,10.201
-10.76,-1.37,0.39,10.289
-10.21,-0.97,0.54,10.379
-11.52,-1.24,0.98,10.443
-12.24,-0.84,1.94,10.534
-12.24,-0.84,1.94,10.61
-12.24,-0.84,1.94,10.696
-12.24,-0.84,1.94,10.781
-12.24,-0.84,1.94,10.859
-12.24,-0.84,1.94,10.939
-12.24,-0.84,1.94,11.02
-12.24,-0.84,1.94,11.105
-13.82,-2.12,1.53,11.176
-12.98,-2.21,1.99,11.25
-12.62,-3.22,1.63,11.327
-12.62,-3.22,1.63,11.412
-12.62,-3.22,1.63,11.486
-12.62,-3.22,1.63,11.567
-12.62,-3.22,1.63,11.672
-12.62,-3.22,1.63,11.75
-12.62,-3.22,1.63,11.812
-12.62,-3.22,1.63,11.911
-11.35,-2.09,2.04,11.997
-11.19,-1.77,1.1,12.068
-10.85,-1.19,0.26,12.14
-10.85,-1.19,0.26,12.22
-10.85,-1.19,0.26,12.306
-10.85,-1.19,0.26,12.385
-10.85,-1.19,0.26,12.475
-10.85,-1.19,0.26,12.58
-10.85,-1.19,0.26,12.639
