run_5_1,NAME:,,
08/06/2023 10:39,EXPERIMENT TIME:,,
Walking,ACTIVITY TYPE:,,
130,COUNT OF ACTUAL STEPS,,
,,,
ACC Z,ACC Y,ACC X,Time [sec]
3.05,-8.36,-1.56,0.096
2.82,-8.19,-1.9,0.247
2.82,-8.19,-1.9,0.383
2.82,-8.19,-1.9,0.511
2.82,-8.19,-1.9,0.521
2.82,-8.19,-1.9,0.602
2.82,-8.19,-1.9,0.612
2.82,-8.19,-1.9,0.693
2.82,-8.19,-1.9,0.779
2.96,-8.41,-1.54,0.863
3.62,-8.04,-1.24,0.947
3.45,-8.42,-1.48,1.037
3.45,-8.42,-1.48,1.12
3.45,-8.42,-1.48,1.208
3.45,-8.42,-1.48,1.293
3.45,-8.42,-1.48,1.378
3.45,-8.42,-1.48,1.465
3.45,-8.42,-1.48,1.543
3.45,-8.42,-1.48,1.628
4.34,-11.95,-2.05,1.718
2.54,-16.16,-2.2,1.81
3.06,-19.26,-1.14,1.821
3.06,-19.26,-1.14,1.906
3.06,-19.26,-1.14,1.993
3.06,-19.26,-1.14,2.081
3.06,-19.26,-1.14,2.169
3.06,-19.26,-1.14,2.254
3.06,-19.26,-1.14,2.342
3.06,-19.26,-1.14,2.429
2.18,-19.7,-0.72,2.52
3.49,-15.93,0.03,2.605
2.35,-8.79,-0.42,2.684
2.35,-8.79,-0.42,2.766
2.35,-8.79,-0.42,2.851
2.35,-8.79,-0.42,2.936
2.35,-8.79,-0.42,3.022
2.35,-8.79,-0.42,3.109
2.35,-8.79,-0.42,3.12
2.35,-8.79,-0.42,3.208
1.5,-4.05,-0.63,3.296
2.71,-0.6,-2.14,3.388
1.56,-5.01,-1.82,3.479
1.56,-5.01,-1.82,3.565
1.56,-5.01,-1.82,3.651
1.56,-5.01,-1.82,3.737
1.56,-5.01,-1.82,3.823
1.56,-5.01,-1.82,3.914
1.56,-5.01,-1.82,3.998
1.56,-5.01,-1.82,4.083
3.39,-1.56,-0.64,4.171
7.03,-5.48,-0.61,4.26
13.19,-8.51,-3.13,4.271
13.19,-8.51,-3.13,4.359
13.19,-8.51,-3.13,4.448
13.19,-8.51,-3.13,4.539
13.19,-8.51,-3.13,4.629
13.19,-8.51,-3.13,4.714
13.19,-8.51,-3.13,4.8
13.19,-8.51,-3.13,4.885
15.18,-16.7,-2.13,4.977
9.68,-17.36,-2.17,5.069
2.79,-10.7,-0.05,5.079
2.79,-10.7,-0.05,5.164
2.79,-10.7,-0.05,5.254
2.79,-10.7,-0.05,5.345
2.79,-10.7,-0.05,5.435
