NAME:,run_5_1,,
EXPERIMENT TIME:,6/6/2023 11:00,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,170,,
,,,
Time[sec],ACC X,ACC Y,ACC Z
0,1.92,-9.77,-2.71
0.07,1.96,-9.18,-2.63
0.15,1.73,-8.32,-1.84
0.22,0.94,-11.49,-2.08
0.29,2.24,-9.26,-2.08
0.36,0.55,-9.06,-1.84
0.43,0.43,-9.53,-1.96
0.5,0.94,-9.45,-2.24
0.57,1.65,-9.14,-2.08
0.64,0.98,-11.1,-1.92
0.71,0,-12.32,-2.67
0.78,2,-10.59,-2.08
0.85,1.65,-16.2,-4.43
0.93,4.2,-20.01,-3.06
1,4.28,-5.69,-2.75
1.07,1.88,4.55,-3.18
1.14,-0.24,-0.67,-1.92
1.21,7.53,-9.53,13.85
1.28,3.33,-12.12,-9.73
1.35,-2.63,-15.02,-3.73
1.42,2.16,-10.28,-3.3
1.49,0.94,1.49,-0.55
1.57,14.55,-5.14,-0.98
1.64,2.82,-20.01,-7.18
1.71,1.65,-11.92,-5.14
1.78,2.31,3.57,-0.94
1.85,1.49,2.51,-3.96
1.92,9.57,-20.01,20.01
1.99,-0.12,-18.79,-6.75
2.06,-0.67,-14.04,-2.82
2.13,1.41,-5.18,-0.82
2.2,0.24,1.06,0
2.27,17.46,-5.84,-3.69
2.35,2.55,-20.01,-9.18
2.42,1.65,-9.61,-7.88
2.49,0.04,4.55,0.35
2.56,3.53,2.75,-2.28
2.63,20.01,-14.2,-7.57
2.7,-6.94,-18.16,-12.79
2.77,-0.35,-12.71,-3.18
2.84,2.94,-6.24,-0.24
2.91,-0.16,1.02,-1.53
2.98,11.89,-5.81,-8.71
3.91,0.94,3.26,-1.57
3.98,1.65,3.96,-1.29
4.9,-2.39,-15.61,-0.59
5.83,13.77,-3.02,-3.8
5.9,-2.47,-20.01,-6.63
5.97,0.04,-10.67,-6.51
6.04,3.73,4.71,0.04
6.11,3.02,2.47,-1.57
6.18,-0.31,0.71,9.89
6.25,-1.14,-17.18,-4.35
6.32,0.71,-13.18,2.08
6.39,-0.27,-0.24,-1.33
6.46,2.39,0.31,-1.84
6.53,20.01,-5.45,-6.28
6.61,-1.02,-20.01,-9.06
6.68,0.67,-7.14,-4.71
6.75,4.86,4.86,0.78
6.82,2.2,1.22,-2.04
6.89,2.75,5.88,5.3
6.96,2.28,-20.01,-2.51
7.03,-1.73,-13.61,0.71
7.1,2.86,-0.24,4.82
7.17,0.67,2.55,-3.45
7.25,1.26,-11.96,-2.55
7.32,-4.28,-20.01,-5.61
7.39,2.79,-8.79,-4.98
7.46,2.63,4.12,0.71
7.53,5.14,-3.92,2.9
7.6,-4.47,-12,-12.36
7.67,0.82,-19.42,-2.35
7.74,-0.78,-11.61,-0.43
7.81,1.69,-0.31,-0.12
7.88,1.77,0.31,-1.53
7.96,-2.67,-20.01,3.3
8.03,-5.22,-20.01,-4.67
8.1,1.8,-5.3,-5.22
8.17,5.73,4.55,-0.31
8.24,6.67,-0.47,-0.71
8.31,-16.44,-19.26,-14.98
8.38,0.35,-13.81,-4.35
8.45,4.75,-8.32,1.45
8.52,1.57,0,-0.27
8.59,0.12,0.55,6.67
8.66,-4,-20.01,-7.22
8.74,-3.22,-15.97,-9.45
8.81,0,2.24,1.45
8.88,3.33,5.61,-2.24
8.95,8.32,-20.01,2.04
9.02,-5.41,-14.04,-10.94
9.09,-0.47,-14.4,1.73
9.16,0.86,-2.55,-0.71
9.23,2.59,0.31,-0.78
9.3,7.65,-12.59,2.28
9.38,-1.92,-20.01,-3.84
9.45,3.49,-6.86,-5.26
9.52,0.63,4.39,-1.22
9.59,5.1,2.9,-0.82
9.66,0.75,11.53,13.53
9.73,-0.04,-20.01,-1.45
9.8,-0.27,-12.36,-1.45
9.87,0.27,0.43,-2.12
9.94,1.49,0.59,-0.55
10.01,0.2,-20.01,9.57
10.08,-5.33,-20.01,-2.86
10.16,0.67,-2.31,-1.14
10.23,2.04,4.79,-3.41
10.3,2.24,-2.55,-5.3
10.37,-3.1,-8.83,-18.91
10.44,3.57,-17.69,-1.65
10.51,1.45,-7.81,-2.86
10.58,0.12,0.94,-0.63
10.65,2.16,0.16,4.35
10.72,0.31,-20.01,5.73
10.79,-4.71,-19.89,-6
10.87,1.61,-0.43,0.63
10.94,3.53,2.28,-4.59
11.01,4.82,-5.3,-12.94
11.08,-7.06,-20.01,-10.67
11.86,1.06,-12.2,-0.63
11.93,3.06,-3.65,0.39
12.85,-4.63,-20.01,-3.3
12.92,2.82,-0.31,-0.82
14.34,1.49,5.84,-3.22
14.42,5.81,-6.12,5.18
14.49,-1.02,-4,-3.88
14.56,1.77,-19.61,5.02
14.63,-0.86,-9.61,-0.94
14.7,1.41,-0.16,0.39
14.77,0.9,0.24,-1.33
14.84,1.88,-20.01,6.16
14.91,-4.59,-20.01,-2.24
14.98,2.51,-3.14,-2.86
15.06,2.86,3.14,-1.61
15.13,15.85,-6.24,-14.55
15.2,-16.16,-20.01,-5.49
15.27,1.73,-13.81,-0.67
15.34,1.8,-8.32,-2.98
15.41,-0.39,-1.06,-0.51
15.48,3.53,-0.35,4.08
15.55,0.94,-20.01,-2.35
15.62,-3.57,-16.36,-4.51
15.69,0,1.33,-0.75
15.77,0.98,3.14,-4
15.84,19.89,-20.01,-11.22
15.91,-8.43,-14.95,-8.63
15.98,-0.24,-12.83,1.57
16.05,5.02,-6.71,3.77
16.12,0.9,-0.39,-1.33
16.19,15.65,-6.35,-5.61
16.26,1.49,-20.01,-1.53
16.33,1.8,-11.96,-6.71
16.4,2,5.77,-0.67
16.47,2.75,1.45,-3.57
16.55,-5.73,0.24,-5.61
16.62,6.86,-17.34,2.51
16.69,-0.78,-9.3,-0.98
16.76,1.33,-0.35,-0.63
16.83,1.53,-0.43,0.24
16.9,3.22,-20.01,16.28
16.97,-6.39,-20.01,-1.49
17.04,1.22,2.35,1.88
17.11,2.12,4.39,-4.12
17.19,2.47,-5.84,0.39
17.26,-6.28,-11.53,-18.04
