walk_5_2,NAME:,,
08/06/2023 10:50,EXPERIMENT TIME:,,
Walking,ACTIVITY TYPE:,,
85,COUNT OF ACTUAL STEPS,,
,,,
ACC Z,ACC Y,ACC X,Time [sec]
-11.09,-0.85,2.99,0.05
-10.88,-1.19,2.94,0.207
-10.57,-1.39,2.68,0.33
-10.57,-1.39,2.68,0.459
-10.57,-1.39,2.68,0.47
-10.57,-1.39,2.68,0.558
-10.57,-1.39,2.68,0.645
-10.57,-1.39,2.68,0.736
-10.57,-1.39,2.68,0.746
-10.57,-1.39,2.68,0.834
-10.63,-0.76,2.07,0.921
-10.59,0.08,1.5,1.009
-10.84,0.68,1.2,1.098
-10.84,0.68,1.2,1.183
-10.84,0.68,1.2,1.271
-10.84,0.68,1.2,1.36
-10.84,0.68,1.2,1.447
-10.84,0.68,1.2,1.534
-10.84,0.68,1.2,1.62
-10.84,0.68,1.2,1.706
-10.2,0.72,1.87,1.797
-10.81,0.93,2.46,1.888
-11.18,1.57,3.32,1.897
-11.18,1.57,3.32,1.985
-11.18,1.57,3.32,2.074
-11.18,1.57,3.32,2.164
-11.18,1.57,3.32,2.254
-11.18,1.57,3.32,2.345
-11.18,1.57,3.32,2.436
-11.18,1.57,3.32,2.447
-12.45,1.49,2.28,2.54
-13.09,-0.13,2.46,2.627
-12.33,-1.41,2.42,2.719
-12.33,-1.41,2.42,2.812
-12.33,-1.41,2.42,2.897
-12.33,-1.41,2.42,2.989
-12.33,-1.41,2.42,3.08
-12.33,-1.41,2.42,3.168
-12.33,-1.41,2.42,3.263
-12.33,-1.41,2.42,3.351
-11.55,-2.28,2.97,3.435
-9.95,-1.4,2.68,3.448
-9.72,-1.05,1.67,3.537
-9.72,-1.05,1.67,3.628
-9.72,-1.05,1.67,3.721
-9.72,-1.05,1.67,3.817
-9.72,-1.05,1.67,3.911
-9.72,-1.05,1.67,4.002
-9.72,-1.05,1.67,4.012
-9.72,-1.05,1.67,4.104
-9.32,-0.55,2.13,4.197
-9.32,-0.38,2.26,4.29
-10.17,-0.59,2.82,4.384
-10.17,-0.59,2.82,4.478
-10.17,-0.59,2.82,4.492
-10.17,-0.59,2.82,4.585
-10.17,-0.59,2.82,4.735
-10.17,-0.59,2.82,4.746
-10.17,-0.59,2.82,4.84
-10.17,-0.59,2.82,4.937
-10.94,-0.88,2.55,5.031
-12.32,-1.23,1.57,5.123
-12.62,-2.69,1.39,5.136
-12.62,-2.69,1.39,5.23
-12.62,-2.69,1.39,5.321
-12.62,-2.69,1.39,5.408
-12.62,-2.69,1.39,5.505
-12.62,-2.69,1.39,5.593
-12.62,-2.69,1.39,5.681
-12.62,-2.69,1.39,5.771
-11.72,-4.28,1.99,5.784
-10.7,-4.89,2.48,5.877
-9.9,-3.56,2.75,5.962
-9.9,-3.56,2.75,6.056
-9.9,-3.56,2.75,6.066
-9.9,-3.56,2.75,6.217
-9.9,-3.56,2.75,6.312
-9.9,-3.56,2.75,6.4
-9.9,-3.56,2.75,6.497
-9.9,-3.56,2.75,6.507
-9.98,-2.28,1.62,6.6
-9.61,-1.73,1.83,6.699
-9.14,-1.63,2.14,6.799
-9.14,-1.63,2.14,6.892
-9.14,-1.63,2.14,6.986
-9.14,-1.63,2.14,7.08
-9.14,-1.63,2.14,7.178
-9.14,-1.63,2.14,7.184
-9.14,-1.63,2.14,7.272
-9.14,-1.63,2.14,7.363
-9.74,-1.1,1.95,7.452
-10.29,-0.85,1.79,7.54
-11.62,-1.03,1.32,7.632
-11.62,-1.03,1.32,7.715
-11.62,-1.03,1.32,7.726
-11.62,-1.03,1.32,7.821
-11.62,-1.03,1.32,7.968
-11.62,-1.03,1.32,7.979
-11.62,-1.03,1.32,8.079
-11.62,-1.03,1.32,8.172
-12.38,-1.05,1.87,8.319
-13.13,-1.58,2.89,8.417
-12.32,-2.97,3.36,8.426
-12.32,-2.97,3.36,8.566
-12.32,-2.97,3.36,8.658
-12.32,-2.97,3.36,8.746
-12.32,-2.97,3.36,8.84
-12.32,-2.97,3.36,8.85
-12.32,-2.97,3.36,8.942
-12.32,-2.97,3.36,8.952
-12.71,-4.35,3.39,9.093
-11.11,-4.89,2.79,9.185
-11.92,-4.3,2.38,9.331
-11.92,-4.3,2.38,9.342
