Time[sec],ACC X,ACC Y,ACC Z
0,3.3,-9.1,-2.51
0.07,3.37,-9.18,-2.35
0.14,3.45,-9.02,-2.43
0.21,3.53,-9.1,-2.35
0.29,3.33,-9.1,-2.39
0.36,3.49,-8.9,-2.35
0.43,3.8,-8.59,-2.24
0.5,2.08,-9.3,-1.22
0.57,4.67,-9.26,-2.94
0.64,1.37,-9.65,-2.39
0.71,1.96,-9.57,-1.41
0.78,2.12,-9.34,-2.16
0.85,2.28,-9.14,-2.04
0.92,1.92,-9.1,-2.04
1,0.51,-10.28,-2.59
1.07,0.86,-14.12,-1.61
1.14,4.86,-12.2,0.2
1.21,4.35,-11.02,-2.94
1.28,3.33,-7.1,-1.65
1.35,2.16,-4.35,-2.51
1.42,2.98,-6.43,-3.41
1.49,2.82,-7.14,-5.45
1.56,3.69,-14.75,-8.2
1.63,5.84,-15.14,-5.73
1.7,5.69,-5.69,-4.59
1.78,2.12,-7.1,-3.26
1.85,3.06,-6.79,0
1.92,2.71,-8,-1.33
1.99,1.33,-8.63,-2.63
2.06,0.2,-10.94,-1.26
2.13,6.71,-16.28,1.57
2.2,6.51,-13.89,-1.22
2.27,3.65,-4.55,-0.71
2.34,0.98,-3.92,-2.39
2.41,4.08,-4.82,-5.14
2.49,0.27,-9.65,-5.3
2.56,3.14,-9.38,-9.85
2.63,9.89,-10.04,-8.51
2.7,3.77,-7.69,-2.28
2.77,2.51,-5.92,-2.24
2.84,1.33,-7.34,-0.08
2.91,1.06,-8,-1.84
2.98,1.1,-8.83,-3.57
3.05,0.24,-13.34,-3.3
3.12,3.61,-12.43,-0.16
3.83,0.82,-6.55,-0.31
3.91,-0.31,-8.16,-2.82
3.98,-1.06,-11.53,-4.04
4.05,3.84,-16.51,-0.51
4.12,3.22,-16.91,-0.63
4.19,2.67,-4.67,-1.69
4.26,2.12,0.55,-1.57
4.33,4.79,-8.36,-8.55
4.4,2.39,-9.65,-5.84
4.47,16.12,-19.93,-0.86
4.54,7.22,-4.98,-3.06
4.62,2.59,-9.96,0.86
4.69,3.37,-6.9,1.96
4.76,-1.49,-8.9,-2
4.83,1.41,-10.63,-4.39
4.9,3.88,-10.87,-1.53
4.97,8.04,-17.02,-0.47
5.04,0.94,-9.92,-1.26
5.11,-0.98,-4.79,-3.14
5.18,2.2,-2.04,-2.75
5.26,1.49,-10.94,-6.86
5.33,5.45,-15.77,-8.51
5.4,9.81,-20.01,2.04
5.47,3.84,-3.1,-2.67
5.54,3.53,-10.32,-0.31
5.61,2.28,-5.57,0.86
5.68,0.16,-8.98,-1.8
5.75,0.82,-9.77,-5.1
5.82,0.59,-10.98,-2.04
5.89,7.34,-14.12,-0.51
5.97,0.9,-10,-0.9
6.04,-0.39,-5.26,-2.51
6.11,2.82,-0.82,-3.41
6.18,0.86,-12.51,-7.3
6.25,5.88,-17.3,-10.08
6.32,9.81,-17.93,-8.98
6.39,3.26,-3.22,-3.06
6.46,0.75,-4.71,-1.02
6.53,-0.43,-8.75,-0.08
6.6,1.33,-7.37,-3.92
6.68,-3.41,-13.02,-3.33
6.75,6.71,-15.81,1.84
6.82,2.43,-17.22,-2.08
6.89,2.35,-2.98,-1.18
6.96,2.47,1.37,1.26
7.03,6.32,-7.41,-6.94
7.1,0.63,-18.55,-7.77
7.17,11.96,-20.01,-5.77
7.24,2.16,-5.02,-2.08
7.31,1.45,-5.37,-1.88
7.39,3.96,-5.33,0.94
7.46,-2.24,-7.22,-2.59
